aedes_ID	anopheles_ID	orthotype	OMAgroup
AAEL006481	AGAP001184	n:1	
AAEL006503	AGAP001184	n:1	
AAEL006485	AGAP001183	1:1	817052
AAEL006479	AGAP001181	1:1	339022
AAEL006496	AGAP007879	n:1	
AAEL006488	AGAP001179	1:1	800011
AAEL006492	AGAP001177	1:1	684874
AAEL006490	AGAP001175	1:1	
AAEL006480	AGAP001174	1:1	338836
AAEL006489	AGAP001168	1:1	644474
AAEL006502	AGAP001167	1:1	
AAEL006501	AGAP001166	1:1	856522
AAEL006498	AGAP001163	n:m	657373
AAEL006498	AGAP001178	n:m	
AAEL006484	AGAP001161	n:1	
AAEL006491	AGAP001159	1:1	743412
AAEL006523	AGAP009499	1:1	
AAEL006514	AGAP009498	1:1	
AAEL006531	AGAP009497	1:1	546999
AAEL006510	AGAP009496	1:1	331823
AAEL006525	AGAP009495	1:1	547848
AAEL006535	AAU12513.1	n:1	
AAEL006526	AAU12513.1	n:1	637337
AAEL006509	AGAP009491	1:1	831358
AAEL006518	AGAP009489	1:1	816207
AAEL006532	AGAP009488	1:1	609377
AAEL006516	AGAP009486	1:1	777160
AAEL006512	AGAP009487	1:1	739619
AAEL006529	AGAP007925	1:1	685711
AAEL006521	AGAP007922	1:1	642647
AAEL006519	AGAP007926	1:1	832832
AAEL006511	AGAP007927	1:1	754152
AAEL006522	AGAP007928	1:1	559758
AAEL006515	AGAP007929	n:1	806050
AAEL006507	AGAP007929	n:1	
AAEL006524	AGAP006417	n:m	
AAEL006524	AGAP006418	n:m	
AAEL006524	AAL68779.1	n:m	
AAEL006524	AGAP006420	n:m	
AAEL006524	AAL68778.1	n:m	557263
AAEL006524	AGAP006443	n:m	
AAEL006524	AGAP010550	n:m	
AAEL006539	AGAP006044	1:1	609601
AAEL006560	AGAP006043	1:1	498656
AAEL006538	AGAP006040	1:1	853011
AAEL006548	AGAP006039	n:1	
AAEL006556	AGAP006039	n:1	337945
AAEL006540	AGAP006035	1:1	522185
AAEL006541	AGAP006036	1:1	685500
AAEL006561	AAC31862.1	1:1	721215
AAEL006536	AGAP006033	1:1	334073
AAEL006544	AGAP006031	1:1	547688
AAEL006537	AGAP006032	1:1	338890
AAEL006564	AGAP006030	1:1	498057
AAEL006547	AGAP005429	n:1	835100
AAEL006566	AGAP005428	1:1	804014
AAEL006557	AGAP005432	1:1	859363
AAEL006551	AGAP005430	1:1	826915
AAEL006553	AGAP005431	1:1	780363
AAEL006542	AGAP005434	1:1	718683
AAEL006543	AGAP005433	1:1	736984
AAEL006549	AGAP006092	1:1	495157
AAEL006554	AGAP006091	1:1	703491
AAEL006558	AGAP008613	n:1	
AAEL006570	AGAP006177	n:1	339001
AAEL006575	AGAP006178	1:1	572544
AAEL006572	AGAP006179	1:1	555139
AAEL006573	AGAP006184	1:1	789112
AAEL006583	AGAP006185	1:1	654266
AAEL006582	AGAP006186	1:1	523648
AAEL006578	AGAP006243	n:1	
AAEL006574	AGAP005362	n:1	
AAEL006580	AGAP005360	n:1	
AAEL006571	AGAP002966	1:1	550249
AAEL006587	AGAP002968	1:1	856396
AAEL006577	AGAP002969	1:1	826487
AAEL006589	AGAP003666	1:1	814190
AAEL006593	AGAP003669	1:1	533172
AAEL006597	AGAP003671	1:1	502409
AAEL006594	AGAP006707	n:m	
AAEL006594	AGAP006709	n:m	
AAEL006594	AGAP006710	n:m	
AAEL006594	AGAP006711	n:m	559713
AAEL006594	AGAP007141	n:m	
AAEL006594	AGAP007142	n:m	
AAEL006598	AGAP006707	n:m	
AAEL006598	AGAP006709	n:m	
AAEL006598	AGAP006710	n:m	
AAEL006598	AGAP006711	n:m	
AAEL006598	AGAP007141	n:m	
AAEL006598	AGAP007142	n:m	
AAEL006592	AGAP007144	n:1	
AAEL006609	AGAP009889	1:1	275791
AAEL006628	AGAP009888	1:1	829391
AAEL006610	AGAP007948	1:1	264622
AAEL006602	AGAP007949	1:1	339263
AAEL006624	AGAP004133	n:m	660210
AAEL006624	AGAP012604	n:m	
AAEL006607	AGAP004133	n:m	
AAEL006607	AGAP012604	n:m	793423
AAEL006613	AGAP007945	1:1	268953
AAEL006604	AGAP009531	1:1	
AAEL006627	AGAP011920	n:1	
AAEL006601	AGAP007686	1:1	844213
AAEL006622	AGAP007917	1:1	
AAEL006621	AGAP008798	1:1	497827
AAEL006623	AGAP007916	1:1	686449
AAEL006625	AGAP007882	1:1	861518
AAEL006608	AGAP011410	n:1	
AAEL006614	AGAP007883	1:1	592911
AAEL006629	AGAP007884	1:1	609146
AAEL006611	AGAP007885	1:1	831235
AAEL006619	AGAP007886	1:1	839168
AAEL006636	AGAP010851	1:1	657482
AAEL006632	AGAP011331	1:1	337756
AAEL006634	AGAP011329	1:1	855563
AAEL006637	AGAP011327	1:1	709230
AAEL000727	AGAP007331	1:1	339060
AAEL000737	AGAP007332	1:1	
