ID	pvalue	algorithm
ENSMUSG00000051331	0.108601190476191	JTK
ENSMUSG00000052889	0.0629092261904764	JTK
ENSMUSG00000052920	0.151133897569445	JTK
ENSMUSG00000053819	0.212257936507937	JTK
ENSMUSG00000054764	0.151133897569445	JTK
ENSMUSG00000055866	0.0924140211640213	JTK
ENSMUSG00000057378	0.0544477513227513	JTK
ENSMUSG00000057614	0.212257936507937	JTK
ENSMUSG00000057897	0.407926815362161	JTK
ENSMUSG00000059003	0.151133897569445	JTK
ENSMUSG00000063065	0.407926815362161	JTK
ENSMUSG00000063130	0.47358630952381	JTK
ENSMUSG00000063358	0.291474159108087	JTK
ENSMUSG00000063594	0.151133897569445	JTK
ENSMUSG00000068523	0.212257936507937	JTK
ENSMUSG00000078816	0.0924140211640213	JTK
ENSMUSG00000000001	0.987630312401104	LS
ENSMUSG00000001175	0.852771061185685	LS
ENSMUSG00000001986	0.852771061185685	LS
ENSMUSG00000002771	0.987630312401104	LS
ENSMUSG00000005034	0.852771061185685	LS
ENSMUSG00000005469	0.877330445444893	LS
ENSMUSG00000005580	0.852771061185685	LS
ENSMUSG00000015968	0.954014518705307	LS
ENSMUSG00000019370	0.934465082727095	LS
ENSMUSG00000020431	0.852771061185685	LS
ENSMUSG00000020524	0.852771061185685	LS
ENSMUSG00000020654	0.868259825139689	LS
ENSMUSG00000020734	0.906117851138094	LS
ENSMUSG00000020866	0.852771061185685	LS
ENSMUSG00000020893	0.852771061185685	LS
ENSMUSG00000021180	0.987630312401104	LS
ENSMUSG00000021250	0.852771061185685	LS
ENSMUSG00000021313	0.853136657159201	LS
ENSMUSG00000021536	0.852771061185685	LS
ENSMUSG00000021820	0.888609662833261	LS
ENSMUSG00000021933	0.852771061185685	LS
ENSMUSG00000022220	0.852771061185685	LS
ENSMUSG00000022376	0.852771061185685	LS
ENSMUSG00000022416	0.852771061185685	LS
ENSMUSG00000022840	0.954014518705307	LS
ENSMUSG00000022994	0.852771061185685	LS
ENSMUSG00000023439	0.852771061185685	LS
ENSMUSG00000024112	0.987630312401104	LS
ENSMUSG00000024256	0.852771061185685	LS
ENSMUSG00000024617	0.852771061185685	LS
ENSMUSG00000024639	0.852771061185685	LS
ENSMUSG00000024960	0.987630312401104	LS
ENSMUSG00000025739	0.852771061185685	LS
ENSMUSG00000025892	0.995265434213722	LS
ENSMUSG00000025958	0.852771061185685	LS
ENSMUSG00000026567	0.852771061185685	LS
ENSMUSG00000026824	0.852771061185685	LS
ENSMUSG00000026959	0.990237986954915	LS
ENSMUSG00000027523	0.852771061185685	LS
ENSMUSG00000027669	0.877330445444893	LS
ENSMUSG00000028957	0.852771061185685	LS
ENSMUSG00000029064	0.852771061185685	LS
ENSMUSG00000029334	0.852771061185685	LS
ENSMUSG00000029361	0.892110610514861	LS
ENSMUSG00000029713	0.852771061185685	LS
ENSMUSG00000029778	0.852771061185685	LS
ENSMUSG00000030102	0.852771061185685	LS
ENSMUSG00000030209	0.852771061185685	LS
ENSMUSG00000030592	0.859312679096587	LS
ENSMUSG00000031659	0.906117851138094	LS
ENSMUSG00000031748	0.906117851138094	LS
ENSMUSG00000032034	0.995265434213722	LS
ENSMUSG00000032192	0.852771061185685	LS
ENSMUSG00000032246	0.852771061185685	LS
ENSMUSG00000032562	0.868259825139689	LS
ENSMUSG00000032766	0.995052432739178	LS
ENSMUSG00000033981	0.987630312401104	LS
ENSMUSG00000036402	0.852771061185685	LS
ENSMUSG00000036438	0.906117851138094	LS
ENSMUSG00000038026	0.880127132644681	LS
ENSMUSG00000038473	0.852771061185685	LS
ENSMUSG00000038607	0.883838761065101	LS
ENSMUSG00000038811	0.906117851138094	LS
ENSMUSG00000039943	0.852771061185685	LS
ENSMUSG00000040061	0.852771061185685	LS
ENSMUSG00000041624	0.987630312401104	LS
ENSMUSG00000042644	0.995052432739178	LS
ENSMUSG00000043301	0.852771061185685	LS
ENSMUSG00000048240	0.852771061185685	LS
ENSMUSG00000049892	0.852771061185685	LS
ENSMUSG00000050901	0.906117851138094	LS
ENSMUSG00000050965	0.852771061185685	LS
ENSMUSG00000051177	0.852771061185685	LS
ENSMUSG00000051331	0.852771061185685	LS
ENSMUSG00000052889	0.954014518705307	LS
ENSMUSG00000052920	0.987630312401104	LS
ENSMUSG00000053819	0.852771061185685	LS
ENSMUSG00000054764	0.868259825139689	LS
ENSMUSG00000055866	0.868259825139689	LS
ENSMUSG00000057378	0.852771061185685	LS
ENSMUSG00000057614	0.987630312401104	LS
ENSMUSG00000057897	0.987630312401104	LS
ENSMUSG00000059003	0.892110610514861	LS
ENSMUSG00000063065	0.987630312401104	LS
ENSMUSG00000063130	0.906117851138094	LS
ENSMUSG00000063358	0.987630312401104	LS
ENSMUSG00000063594	0.858609181723658	LS
ENSMUSG00000068523	0.995265434213722	LS
ENSMUSG00000078816	0.868259825139689	LS
ENSMUSG00000000001	0.07794643505603	RAIN
ENSMUSG00000001175	0.0204738900391074	RAIN
ENSMUSG00000001986	0.016344618332801	RAIN
ENSMUSG00000002771	0.0840106314414614	RAIN
ENSMUSG00000005034	0.0321067821067822	RAIN
ENSMUSG00000005469	0.0575572801182556	RAIN
ENSMUSG00000005580	0.0351054831731161	RAIN
ENSMUSG00000015968	0.0351054831731161	RAIN
ENSMUSG00000019370	0.0792378917378917	RAIN
ENSMUSG00000020431	0.00976418144863265	RAIN
ENSMUSG00000020524	0.016344618332801	RAIN
ENSMUSG00000020654	0.0351054831731161	RAIN
ENSMUSG00000020734	0.109541874722484	RAIN
ENSMUSG00000020866	0.016344618332801	RAIN
ENSMUSG00000020893	0.0345301918735892	RAIN
ENSMUSG00000021180	0.0941466854724965	RAIN
ENSMUSG00000021250	0.0335896589139972	RAIN
ENSMUSG00000021313	0.00976418144863265	RAIN
ENSMUSG00000021536	0.016344618332801	RAIN
ENSMUSG00000021820	0.0592602037202318	RAIN
ENSMUSG00000021933	0.00976418144863265	RAIN
ENSMUSG00000022220	0.00448317549869031	RAIN
ENSMUSG00000022376	0.016344618332801	RAIN
ENSMUSG00000022416	0.016344618332801	RAIN
ENSMUSG00000022840	0.0840106314414614	RAIN
ENSMUSG00000022994	0.00976418144863265	RAIN
ENSMUSG00000023439	0.00976418144863265	RAIN
ENSMUSG00000024112	0.0592602037202318	RAIN
ENSMUSG00000024256	0.00976418144863265	RAIN
ENSMUSG00000024617	0.016344618332801	RAIN
ENSMUSG00000024639	0.00448317549869031	RAIN
