AFFY.ID	Gene.ID	Gene.Type
1367754_s_at	ENSRNOG00000000903	protein_coding
1367755_at	ENSRNOG00000000158	protein_coding
1367756_at	ENSRNOG00000012873	protein_coding
1367757_at	ENSRNOG00000010807	protein_coding
1367758_at	ENSRNOG00000002889	protein_coding
1367760_at	ENSRNOG00000010176	protein_coding
1367761_at	ENSRNOG00000004139	protein_coding
1367762_at	ENSRNOG00000001837	protein_coding
1367763_at	ENSRNOG00000007862	protein_coding
1367764_at	ENSRNOG00000003256	protein_coding
1367765_at	ENSRNOG00000004280	protein_coding
1367766_at	ENSRNOG00000002671	protein_coding
1367767_at	ENSRNOG00000009422	protein_coding
1367768_at	ENSRNOG00000013572	protein_coding
1367769_at	ENSRNOG00000019439	protein_coding
1367770_at	ENSRNOG00000003223	protein_coding
1367771_at	ENSRNOG00000056135	protein_coding
1367772_at	ENSRNOG00000012788	protein_coding
1367773_at	ENSRNOG00000038001	protein_coding
1367774_at	ENSRNOG00000013484	protein_coding
1367775_at	ENSRNOG00000018662	protein_coding
1367776_at	ENSRNOG00000000632	protein_coding
1367777_at	ENSRNOG00000008236	protein_coding
1367778_at	ENSRNOG00000011352	protein_coding
1367779_at	ENSRNOG00000012852	protein_coding
1367780_at	ENSRNOG00000003802	protein_coding
1367781_at	ENSRNOG00000016076	protein_coding
1367782_at	ENSRNOG00000019851	protein_coding
1367783_at	ENSRNOG00000019425	protein_coding
1367784_a_at	ENSRNOG00000016460	protein_coding
1367785_at	ENSRNOG00000027736	protein_coding
1367786_at	ENSRNOG00000000456	protein_coding
1367787_at	ENSRNOG00000008628	protein_coding
1367788_at	ENSRNOG00000018725	protein_coding
1367789_at	ENSRNOG00000018170	protein_coding
1367790_at	ENSRNOG00000031173	protein_coding
1367791_at	ENSRNOG00000019926	protein_coding
1367792_at	ENSRNOG00000013540	protein_coding
1367793_at	ENSRNOG00000001239	protein_coding
1367795_at	ENSRNOG00000050997	protein_coding
1367796_at	ENSRNOG00000031208	protein_coding
1367797_at	ENSRNOG00000021054	protein_coding
1367798_at	ENSRNOG00000017777	protein_coding
1367799_at	ENSRNOG00000012477	protein_coding
1367800_at	ENSRNOG00000019018	protein_coding
1367801_at	ENSRNOG00000014241	protein_coding
1367802_at	ENSRNOG00000011815	protein_coding
1367803_at	ENSRNOG00000002247	protein_coding
1367804_at	ENSRNOG00000009086	protein_coding
1367805_at	ENSRNOG00000056246	protein_coding
1367806_at	ENSRNOG00000056246	protein_coding
1367807_at	ENSRNOG00000007763	protein_coding
1367808_at	ENSRNOG00000009888	protein_coding
1367809_at	ENSRNOG00000016436	protein_coding
1367810_at	ENSRNOG00000057620	protein_coding
1367811_at	ENSRNOG00000019328	protein_coding
1367812_at	ENSRNOG00000058842	protein_coding
1367813_at	ENSRNOG00000020676	protein_coding
1367814_at	ENSRNOG00000002934	protein_coding
1367815_at	ENSRNOG00000057628	protein_coding
1367816_at	ENSRNOG00000024689	protein_coding
1367817_at	ENSRNOG00000042261	protein_coding
1367818_at	ENSRNOG00000009974	protein_coding
1367819_at	ENSRNOG00000011782	protein_coding
1367820_at	ENSRNOG00000020460	protein_coding
1367821_a_at	ENSRNOG00000052707	protein_coding
1367822_at	ENSRNOG00000052707	protein_coding
1367823_at	ENSRNOG00000003148	protein_coding
1367824_at	ENSRNOG00000014462	protein_coding
1367825_at	ENSRNOG00000010219	protein_coding
1367826_at	ENSRNOG00000001548	protein_coding
1367827_at	ENSRNOG00000015182	protein_coding
1367828_at	ENSRNOG00000001177	protein_coding
1367830_a_at	ENSRNOG00000010756	protein_coding
1367831_at	ENSRNOG00000010756	protein_coding
1367832_at	ENSRNOG00000008320	protein_coding
1367833_at	ENSRNOG00000010038	protein_coding
1367836_at	ENSRNOG00000014254	protein_coding
1367837_at	ENSRNOG00000013493	protein_coding
1367838_at	ENSRNOG00000010658	protein_coding
1367839_at	ENSRNOG00000021314	protein_coding
1367840_at	ENSRNOG00000036696	protein_coding
1367841_a_at	ENSRNOG00000024843	protein_coding
1367842_at	ENSRNOG00000018020	protein_coding
1367843_at	ENSRNOG00000017780	protein_coding
1367844_at	ENSRNOG00000016592	protein_coding
1367845_at	ENSRNOG00000013916	protein_coding
1367846_at	ENSRNOG00000011821	protein_coding
1367848_at	ENSRNOG00000010048	protein_coding
1367849_at	ENSRNOG00000059947	protein_coding
1367851_at	ENSRNOG00000015550	protein_coding
1367853_at	ENSRNOG00000015971	protein_coding
1367854_at	ENSRNOG00000016924	protein_coding
1367855_at	ENSRNOG00000000981	protein_coding
1367856_at	ENSRNOG00000056728	protein_coding
1367857_at	ENSRNOG00000020480	protein_coding
1367859_at	ENSRNOG00000009867	protein_coding
1367860_a_at	ENSRNOG00000010947	protein_coding
1367861_at	ENSRNOG00000014476	protein_coding
1367862_at	ENSRNOG00000011901	protein_coding
1367863_at	ENSRNOG00000020753	protein_coding
1367864_at	ENSRNOG00000057988	protein_coding
1367866_at	ENSRNOG00000050539	protein_coding
1367867_at	ENSRNOG00000013370	protein_coding
1367868_at	ENSRNOG00000055984	protein_coding
1367869_at	ENSRNOG00000056487	protein_coding
1367870_at	ENSRNOG00000016227	protein_coding
1367871_at	ENSRNOG00000012458	protein_coding
1367872_at	ENSRNOG00000008786	protein_coding
1367873_at	ENSRNOG00000054352	protein_coding
1367874_at	ENSRNOG00000015415	protein_coding
1367875_at	ENSRNOG00000000048	protein_coding
1367876_at	ENSRNOG00000019758	protein_coding
1367877_at	ENSRNOG00000019550	protein_coding
1367878_at	ENSRNOG00000018847	protein_coding
1367879_at	ENSRNOG00000048747	protein_coding
1367880_at	ENSRNOG00000047768	protein_coding
1367881_at	ENSRNOG00000004763	protein_coding
1367882_at	ENSRNOG00000014230	protein_coding
1367883_at	ENSRNOG00000018067	protein_coding
1367884_at	ENSRNOG00000018901	protein_coding
1367885_at	ENSRNOG00000037446	protein_coding
1367886_at	ENSRNOG00000017478	protein_coding
1367887_at	ENSRNOG00000019573	protein_coding
1367888_at	ENSRNOG00000013330	protein_coding
1367889_at	ENSRNOG00000021781	protein_coding
1367890_at	ENSRNOG00000016707	protein_coding
1367891_a_at	ENSRNOG00000016707	protein_coding
1367892_at	ENSRNOG00000004172	protein_coding
1367893_a_at	ENSRNOG00000020360	protein_coding
1367896_at	ENSRNOG00000010079	protein_coding
1367897_at	ENSRNOG00000018114	protein_coding
1367898_at	ENSRNOG00000009820	protein_coding
1367899_at	ENSRNOG00000048043	protein_coding
1367900_at	ENSRNOG00000011146	protein_coding
1367901_at	ENSRNOG00000000913	protein_coding
1367903_at	ENSRNOG00000003773	protein_coding
1367904_at	ENSRNOG00000019704	protein_coding
1367905_at	ENSRNOG00000013791	protein_coding
1367906_at	ENSRNOG00000013594	protein_coding
1367907_a_at	ENSRNOG00000017506	protein_coding
1367908_at	ENSRNOG00000011535	protein_coding
1367909_at	ENSRNOG00000050315	protein_coding
1367910_at	ENSRNOG00000051965	protein_coding
1367911_at	ENSRNOG00000010277	protein_coding
1367912_at	ENSRNOG00000033090	protein_coding
1367913_at	ENSRNOG00000011541	protein_coding
1367914_at	ENSRNOG00000021104	protein_coding
1367915_at	ENSRNOG00000028711	protein_coding
1367916_at	ENSRNOG00000032238	protein_coding
1367917_at	ENSRNOG00000008988	protein_coding
1367918_at	ENSRNOG00000006075	protein_coding
1367919_at	ENSRNOG00000005390	protein_coding
1367920_at	ENSRNOG00000020653	protein_coding
1367921_at	ENSRNOG00000020115	protein_coding
1367922_at	ENSRNOG00000060694	protein_coding
1367923_at	ENSRNOG00000011381	protein_coding
1367924_at	ENSRNOG00000020350	protein_coding
1367925_at	ENSRNOG00000020182	protein_coding
1367926_at	ENSRNOG00000046799	protein_coding
1367927_at	ENSRNOG00000046799	protein_coding
1367928_at	ENSRNOG00000016983	protein_coding
1367929_at	ENSRNOG00000042821	protein_coding
1367930_at	ENSRNOG00000001528	protein_coding
1367931_a_at	ENSRNOG00000010448	protein_coding
1367932_at	ENSRNOG00000016552	protein_coding
1367933_at	ENSRNOG00000000585	protein_coding
1367934_at	ENSRNOG00000043348	protein_coding
1367935_at	ENSRNOG00000007671	protein_coding
1367937_at	ENSRNOG00000008694	protein_coding
1367938_at	ENSRNOG00000002643	protein_coding
1367939_at	ENSRNOG00000013794	protein_coding
1367940_at	ENSRNOG00000019622	protein_coding
1367941_at	ENSRNOG00000000613	protein_coding
1367942_at	ENSRNOG00000046261	protein_coding
1367943_at	ENSRNOG00000020063	protein_coding
1367944_at	ENSRNOG00000012815	protein_coding
1367945_at	ENSRNOG00000013118	protein_coding
1367946_at	ENSRNOG00000016166	protein_coding
1367947_at	ENSRNOG00000061499	protein_coding
1367948_a_at	ENSRNOG00000046829	protein_coding
1367949_at	ENSRNOG00000008943	protein_coding
1367950_at	ENSRNOG00000008432	protein_coding
1367951_at	ENSRNOG00000013532	protein_coding
1367952_at	ENSRNOG00000056184	protein_coding
1367953_at	ENSRNOG00000058586	protein_coding
1367954_at	ENSRNOG00000017438	protein_coding
1367955_at	ENSRNOG00000001500	protein_coding
1367956_at	ENSRNOG00000011751	protein_coding
1367957_at	ENSRNOG00000024501	protein_coding
1367958_at	ENSRNOG00000031325	protein_coding
1367959_a_at	ENSRNOG00000021102	protein_coding
1367960_at	ENSRNOG00000004282	protein_coding
1367961_at	ENSRNOG00000032857	protein_coding
1367962_at	ENSRNOG00000019745	protein_coding
1367963_at	ENSRNOG00000009667	protein_coding
1367964_at	ENSRNOG00000020276	protein_coding
1367965_at	ENSRNOG00000007982	protein_coding
1367966_at	ENSRNOG00000031485	protein_coding
1367967_at	ENSRNOG00000053991	protein_coding
1367968_at	ENSRNOG00000049151	protein_coding
1367969_at	ENSRNOG00000002896	protein_coding
1367970_at	ENSRNOG00000017427	protein_coding
1367971_at	ENSRNOG00000050044	protein_coding
1367972_at	ENSRNOG00000007834	protein_coding
1367973_at	ENSRNOG00000007159	protein_coding
1367974_at	ENSRNOG00000002045	protein_coding
1367975_at	ENSRNOG00000002045	protein_coding
1367976_at	ENSRNOG00000011194	protein_coding
1367977_at	ENSRNOG00000008656	protein_coding
1367978_at	ENSRNOG00000032150	protein_coding
1367979_s_at	ENSRNOG00000007234	protein_coding
1367980_at	ENSRNOG00000005015	protein_coding
1367981_at	ENSRNOG00000005015	protein_coding
1367982_at	ENSRNOG00000056596	protein_coding
1367983_at	ENSRNOG00000020531	protein_coding
1367984_at	ENSRNOG00000056946	protein_coding
1367985_at	ENSRNOG00000000167	protein_coding
1367986_at	ENSRNOG00000015655	protein_coding
1367987_at	ENSRNOG00000006720	protein_coding
1367988_at	ENSRNOG00000013291	protein_coding
1367989_at	ENSRNOG00000017226	protein_coding
1367990_at	ENSRNOG00000047673	protein_coding
1367992_at	ENSRNOG00000007542	protein_coding
1367993_at	ENSRNOG00000001247	protein_coding
1367994_at	ENSRNOG00000017105	protein_coding
1367995_at	ENSRNOG00000008364	protein_coding
1367996_a_at	ENSRNOG00000029134	protein_coding
1367997_at	ENSRNOG00000019693	protein_coding
1367999_at	ENSRNOG00000001344	protein_coding
1368000_at	ENSRNOG00000046834	protein_coding
1368001_at	ENSRNOG00000019850	protein_coding
1368002_at	ENSRNOG00000015796	protein_coding
1368003_at	ENSRNOG00000055049	protein_coding
1368004_at	ENSRNOG00000020354	protein_coding
1368005_at	ENSRNOG00000052795	protein_coding
1368006_at	ENSRNOG00000011054	protein_coding
1368008_at	ENSRNOG00000003098	protein_coding
1368009_at	ENSRNOG00000014365	protein_coding
1368010_at	ENSRNOG00000014294	protein_coding
1368011_at	ENSRNOG00000058497	protein_coding
1368012_at	ENSRNOG00000051706	protein_coding
1368013_at	ENSRNOG00000010047	protein_coding
1368014_at	ENSRNOG00000006320	protein_coding
1368015_at	ENSRNOG00000006320	protein_coding
1368016_at	ENSRNOG00000055295	protein_coding
1368017_at	ENSRNOG00000020380	protein_coding
1368018_at	ENSRNOG00000054514	protein_coding
1368019_at	ENSRNOG00000009615	protein_coding
1368020_at	ENSRNOG00000013376	protein_coding
1368021_at	ENSRNOG00000012436	protein_coding
1368022_at	ENSRNOG00000019730	protein_coding
1368023_at	ENSRNOG00000003649	protein_coding
1368024_at	ENSRNOG00000003649	protein_coding
1368025_at	ENSRNOG00000057078	protein_coding
1368026_at	ENSRNOG00000049142	protein_coding
1368027_at	ENSRNOG00000007918	protein_coding
1368028_at	ENSRNOG00000052880	protein_coding
1368029_at	ENSRNOG00000019465	protein_coding
1368030_at	ENSRNOG00000019465	protein_coding
1368031_at	ENSRNOG00000018704	protein_coding
1368032_at	ENSRNOG00000018704	protein_coding
1368033_at	ENSRNOG00000018704	protein_coding
1368034_at	ENSRNOG00000021269	protein_coding
1368035_a_at	ENSRNOG00000019977	protein_coding
1368036_at	ENSRNOG00000019977	protein_coding
1368038_at	ENSRNOG00000006399	protein_coding
1368039_at	ENSRNOG00000006399	protein_coding
1368040_at	ENSRNOG00000006399	protein_coding
1368041_at	ENSRNOG00000006399	protein_coding
1368043_at	ENSRNOG00000017029	protein_coding
1368044_at	ENSRNOG00000015055	protein_coding
1368045_at	ENSRNOG00000014475	protein_coding
1368047_at	ENSRNOG00000019118	protein_coding
1368048_at	ENSRNOG00000010410	protein_coding
1368049_at	ENSRNOG00000014160	protein_coding
1368050_at	ENSRNOG00000011586	protein_coding
1368051_at	ENSRNOG00000009630	protein_coding
1368052_at	ENSRNOG00000004411	protein_coding
1368053_at	ENSRNOG00000032437	protein_coding
1368054_at	ENSRNOG00000019638	protein_coding
1368055_a_at	ENSRNOG00000019638	protein_coding
1368056_at	ENSRNOG00000011375	protein_coding
1368057_at	ENSRNOG00000011929	protein_coding
1368058_at	ENSRNOG00000050543	protein_coding
1368059_at	ENSRNOG00000061215	protein_coding
1368060_at	ENSRNOG00000005437	protein_coding
1368061_at	ENSRNOG00000003841	protein_coding
1368062_at	ENSRNOG00000011461	protein_coding
1368063_a_at	ENSRNOG00000001996	protein_coding
1368064_a_at	ENSRNOG00000004327	protein_coding
1368065_at	ENSRNOG00000003864	protein_coding
1368066_at	ENSRNOG00000000485	protein_coding
1368067_at	ENSRNOG00000001789	protein_coding
1368068_a_at	ENSRNOG00000009756	protein_coding
1368069_at	ENSRNOG00000012812	protein_coding
1368070_at	ENSRNOG00000003849	protein_coding
1368071_at	ENSRNOG00000037850	protein_coding
1368072_at	ENSRNOG00000001555	protein_coding
1368073_at	ENSRNOG00000008144	protein_coding
1368074_at	ENSRNOG00000009712	protein_coding
1368075_at	ENSRNOG00000019077	protein_coding
1368076_at	ENSRNOG00000010258	protein_coding
1368077_at	ENSRNOG00000017597	protein_coding
1368078_at	ENSRNOG00000010797	protein_coding
1368079_at	ENSRNOG00000001517	protein_coding
1368080_at	ENSRNOG00000042960	protein_coding
1368081_at	ENSRNOG00000014268	protein_coding
1368082_at	ENSRNOG00000014347	protein_coding
1368083_at	ENSRNOG00000031656	protein_coding
1368084_at	ENSRNOG00000006873	protein_coding
1368085_at	ENSRNOG00000012290	protein_coding
1368086_a_at	ENSRNOG00000054549	protein_coding
1368087_a_at	ENSRNOG00000060568	protein_coding
1368088_at	ENSRNOG00000008017	protein_coding
1368089_at	ENSRNOG00000019560	protein_coding
1368090_at	ENSRNOG00000018369	protein_coding
1368091_at	ENSRNOG00000011781	protein_coding
1368092_at	ENSRNOG00000013223	protein_coding
1368093_at	ENSRNOG00000025757	protein_coding
1368094_at	ENSRNOG00000013773	protein_coding
1368095_at	ENSRNOG00000052506	protein_coding
1368096_at	ENSRNOG00000049641	protein_coding
1368097_a_at	ENSRNOG00000004794	protein_coding
